NU_INSCRICAO;NU_ANO;TP_COR_RACA;CO_MUNICIPIO_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;Q007;Q021;Q020;Q023
210051352099;2021;3;3541000;490,2;346,8;424,7;399,7;440,0;B;A;A;-
210053964238;2021;2;3541000;;;;;;C;C;B;-
210053148536;2021;3;3541000;;438,0;419,9;;520,0;B;A;A;-
210052562825;2021;1;3541000;;;;;;K;B;B;-
210053963125;2021;1;3541000;423,6;456,1;498,0;570,4;720,0;J;B;B;-
210053541828;2021;3;3541000;424,8;504,2;469,3;382,2;300,0;B;A;B;-
210052933085;2021;1;3541000;565,8;688,0;570,5;693,6;880,0;I;C;B;-
210052910558;2021;1;3541000;;;;;;F;B;B;-
210051765769;2021;3;3541000;398,4;565,1;565,7;473,6;420,0;B;A;A;-
210051370255;2021;3;3541000;606,0;709,7;633,6;711,8;920,0;C;B;B;-
210054365353;2021;3;3541000;;;;;;C;B;B;-
210053536796;2021;3;3541000;439,8;524,4;583,2;614,5;660,0;B;B;B;-
210053951729;2021;1;3541000;437,3;537,0;485,7;373,1;660,0;F;C;B;-
210052738901;2021;3;3541000;424,0;552,8;576,9;525,2;800,0;E;C;B;-
210054384420;2021;1;3541000;485,9;566,2;513,0;469,9;560,0;K;C;B;-
210054394659;2021;3;3541000;518,5;628,8;573,3;655,7;720,0;B;A;B;-
210054356588;2021;1;3541000;;;;;;C;B;B;-
210051207406;2021;3;3541000;405,9;483,4;489,9;582,7;640,0;A;A;B;-
210052651294;2021;1;3541000;510,6;547,1;419,4;611,7;720,0;E;B;B;-
210051476262;2021;1;3541000;;;;;;G;B;B;-
210054385606;2021;1;3541000;509,0;342,7;383,0;515,8;520,0;B;A;B;-
210054347899;2021;1;3541000;;;;;;C;B;B;-
210052226834;2021;1;3541000;479,4;598,1;546,3;498,3;800,0;G;B;B;-
210052097639;2021;3;3541000;;;;;;C;B;B;-
210053046634;2021;3;3541000;672,2;610,3;585,5;723,5;620,0;E;A;B;-
210052644569;2021;1;3541000;414,8;602,6;536,9;477,4;640,0;F;B;B;-
210051521743;2021;3;3541000;484,6;564,4;583,1;436,2;680,0;E;B;B;-
210051029282;2021;2;3541000;454,9;535,8;473,2;603,1;480,0;C;B;B;-
210053969623;2021;3;3541000;;;;;;C;B;B;-
210052119971;2021;3;3541000;547,3;588,0;560,5;468,8;720,0;E;B;B;-
210054358420;2021;1;3541000;523,7;621,9;595,7;666,5;740,0;H;C;B;-
210053958306;2021;3;3541000;525,8;617,2;494,5;567,2;820,0;E;C;B;-
210053084868;2021;2;3541000;418,1;570,6;548,6;595,8;720,0;C;B;B;-
210054354907;2021;1;3541000;471,2;537,4;494,8;586,2;620,0;E;A;B;-
210052466607;2021;3;3541000;484,0;457,1;492,4;449,3;520,0;C;A;B;-
210053913188;2021;3;3541000;;;;;;B;B;B;-
210051990648;2021;1;3541000;380,1;515,6;426,0;366,8;400,0;B;A;B;-
